PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00uzT,5rk1/3nppbp/1rpp2p1/p1q5/P3PP2/1PNQ4/2PB2PP/3R1RK1 w - - 1 20,d2e3 c5c3 d3c3 g7c3 e3b6 d7b6,1525,75,94,1848,advantage long middlegame,https://lichess.org/liepuQUZ#39,
00v6A,3r1Q1k/p5pp/1p2p3/6PP/4P3/8/PPPr4/1K3R2 b - - 2 26,d8f8 f1f8,442,93,57,122,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/aNjVsVyK/black#52,
00v6q,2Q1k3/4qpp1/2pr4/2Np4/3P4/7P/P1P3P1/6K1 b - - 4 34,e7d8 c5b7 d8c8 b7d6 e8d7 d6c8,1940,77,88,217,crushing endgame fork long master sacrifice,https://lichess.org/EWyPP874/black#68,
00vCE,6k1/4P1p1/3R1r2/3R2Kp/8/6Pr/8/8 b - - 0 39,g8f7 d5e5 h3g3 g5h4 g3g4 h4h5 f6f5 e5f5,2480,108,87,30,crushing endgame quietMove rookEndgame veryLong,https://lichess.org/5lDULF3r/black#78,
00vKn,8/8/1R6/6k1/6P1/4r2P/r7/5R1K w - - 5 40,f1f6 e3e1 f6f1 e1f1,1168,82,94,94,endgame mate mateIn2 rookEndgame short,https://lichess.org/qsLWpNqw#79,
00vUf,3R4/p4pkp/2p5/6p1/1P1B4/r3PP2/2r3PP/5K2 b - - 6 31,g7g6 d8d6 f7f6 d6f6 g6g7 f6c6,2046,76,95,2505,crushing discoveredAttack endgame long,https://lichess.org/87kUHyPW/black#62,
00vXZ,4n1k1/5r2/p1r1p2Q/1p1qP1p1/8/5PP1/P3n1KP/1RB2R2 b - - 0 27,c6c2 h6g6 e8g7 g6c2 f7f3 f1f3,1906,77,87,59,advantage fork long middlegame,https://lichess.org/NIjw0abF/black#54,
00vZ1,2r3k1/6p1/R3p1r1/8/3PPp2/2P2P1p/P1R3P1/6K1 w - - 0 36,a2a4 c8b8 g1h2 h3g2,2248,80,87,111,advancedPawn advantage endgame pin quietMove rookEndgame short,https://lichess.org/PwiyhVrB#71,
00veX,1r3rk1/p4p2/2pq3p/4p1p1/4Pnb1/2PB1PB1/P1Q3PP/3R1RK1 b - - 0 18,d6c5 g3f2 c5a3 f3g4 b8b2 c2c1,1716,74,92,1401,advantage defensiveMove long middlegame,https://lichess.org/pUj3STn8/black#36,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation
00vf5,r1b1kbnr/1pqp1ppp/p1n1p3/8/2BNP3/P1N5/1PP2PPP/R1BQK2R b KQkq - 0 7,g8e7 d4b5 a6b5 c3b5 c7b8 b5d6,2162,83,90,1450,crushing long opening sacrifice,https://lichess.org/DaGWQ4jB/black#14,Sicilian_Defense Sicilian_Defense_Closed
00viH,r2q1rk1/2p2p1p/p1n2Q2/1pbNP1N1/3n2P1/1B5P/PPbB4/R3K2R w KQ - 0 20,b3c2 d4c2 e1d1 d8d5,2203,87,83,35,crushing fork middlegame short,https://lichess.org/IhpDF8ls#39,
00vjg,2r3k1/5ppp/p3nb2/2Bq4/1Q6/P6P/2R2PP1/2R3K1 w - - 3 30,c5e3 c8c2 c1c2 d5d1 g1h2 d1c2,1063,81,90,270,advantage attraction fork long middlegame,https://lichess.org/QOaRlqny#59,
00vl5,5r2/p1k2qpp/2n5/2N1p3/2b5/2P1B3/PP1Q2PP/4R1K1 w - - 5 24,b2b3 f7f1 e1f1 f8f1,1078,79,93,580,mate mateIn2 middlegame sacrifice short,https://lichess.org/FkJvHJjC#47,
00voi,1r6/2r2p1R/7R/4pPk1/2B2n2/1P3P1P/P4K2/8 b - - 0 43,c7c4 h3h4 g5f5 h7f7,1584,73,95,27373,endgame mate mateIn2 short,https://lichess.org/4zZjpxHw/black#86,
